obj_id,MJD,PLATE,FIBERID,index1
1237655129842843778,52438,820,459,62321
1237655129305776592,52438,820,362,62322
1237655474507612188,null,null,null,62323
1237655473433411712,52409,819,437,62324
null,null,null,null,62335
1237668649855352879,null,null,null,62336
null,null,null,null,62342
null,null,null,null,62346
null,null,null,null,62355
1237671750289326356,null,null,null,62356
1237671072757055576,null,null,null,62357
1237671685864947885,null,null,null,62358
1237671749752455352,null,null,null,62359
null,null,null,null,62362
1237661434313244756,null,null,null,62363
1237661362370641982,56386,6625,556,62364
1237661361297096841,null,null,null,62365
null,null,null,null,62384
null,null,null,null,62393
1237678536869085281,null,null,null,62394
null,null,null,null,62397
1237672817051828540,null,null,null,62398
null,null,null,null,62400
1237679457605910808,null,null,null,62401
1237661966896529457,55681,4704,692,62402
1237672817052024904,null,null,null,62403
1237661967433465866,null,null,null,62404
1237662194530058326,null,null,null,62405
1237662193456382081,55705,4706,506,62406
1237662335721930876,null,null,null,62407
null,null,null,null,62413
1237661388152832139,null,null,null,62414
1237659325491773730,56074,5189,945,62415
null,null,null,null,62417
null,null,null,null,62420
1237661463307813056,null,null,null,62421
1237662336795738213,null,null,null,62422
1237662667499372595,null,null,null,62423
null,null,null,null,62428
1237662642267423030,53473,1579,622,62429
1237662335718653956,55748,5010,922,62430
1237659896718164616,null,null,null,62431
1237659897791578636,null,null,null,62432
1237656531074679212,null,null,null,62433
1237659897791644063,null,null,null,62434
null,null,null,null,62451
null,null,null,null,62470
1237651191894900895,55923,5157,276,62471
1237651190821093453,null,null,null,62472
null,null,null,null,62474
null,null,null,null,62481
null,null,null,null,62483
null,null,null,null,62490
null,null,null,null,62493
1237668679390725386,null,null,null,62494
1237679541362163843,null,null,null,62495
1237668678853918801,null,null,null,62496
1237679461901074576,null,null,null,62497
1237679541899427916,null,null,null,62498
1237668678853920621,null,null,null,62499
null,null,null,null,62503
1237668627313919074,null,null,null,62504
null,null,null,null,62510
null,null,null,null,62511
1237657628969140359,52317,859,517,62512
null,null,null,null,62518
null,null,null,null,62522
null,null,null,null,62537
1237661433778667617,null,null,null,62539
null,null,null,null,62546
null,null,null,null,62547
1237664819285196944,null,null,null,62548
1237664818748522582,53442,1997,2,62549
1237659896173297748,null,null,null,62550
1237655746705096721,null,null,null,62551
null,null,null,null,62560
null,null,null,null,62561
1237661971715260443,null,null,null,62562
null,null,null,null,62565
null,null,null,null,62566
1237658299537358938,55926,4855,712,62567
1237658917459525634,null,null,null,62568
1237658919070597185,56430,6828,280,62570
null,null,null,null,62571
1237658803115327522,null,null,null,62572
1237661416061862002,56430,6828,780,62573
1237661416061731004,null,null,null,62574
1237680245198815395,null,null,null,62575
null,null,null,null,62582
null,null,null,null,62590
1237671257439207608,null,null,null,62592
null,null,null,null,62603
null,null,null,null,62604
1237651250442994237,null,null,null,62605
1237651251516932403,null,null,null,62606
null,null,null,null,62610
1237667783348781681,null,null,null,62612
1237655129302630526,null,null,null,62614
1237667783348846871,53815,2427,40,62616
null,null,null,null,62620
null,null,null,null,62621
1237666302117872023,null,null,null,62622
1237671257976012807,null,null,null,62623
null,null,null,null,62630
1237661873487937606,null,null,null,62632
null,null,null,null,62633
null,null,null,null,62643
null,null,null,null,62688
null,null,null,null,62689
null,null,null,null,62692
null,null,null,null,62695
null,null,null,null,62696
null,null,null,null,62715
1237676676613079648,null,null,null,62717
